,Image,Accuracy,F1,Jaccard,Recall,Precision
268,pexels-photo-378153_0,0.981010437011719,0.967051005414278,0.936204024093298,0.970726197594844,0.963403536998694
269,pexels-photo-384273_0,0.994945526123047,0.989643987650944,0.979500270751141,0.985676475167367,0.993643569018284
270,pexels-photo-386133_0,0.980342864990234,0.987364368647548,0.975044071211329,0.99262915010896,0.982155140031904
271,pexels-photo-386140_0,0.993526458740234,0.975633570249121,0.952426340724959,0.984896361791564,0.966543385490754
272,pexels-photo-388517_0,0.992649078369141,0.994912681336378,0.989876862300111,0.992405369961711,0.997432694241824
273,pexels-photo-388622_0,0.973854064941406,0.953532203389831,0.911191157987483,0.991596046193545,0.918282602734359
274,pexels-photo-395196_0,0.997642517089844,0.925145348837209,0.860716700473293,0.954272863568216,0.897743300423131
275,pexels-photo-406197_0,0.982688903808594,0.976345117336141,0.953783481006212,0.989048358309835,0.96396405669408
276,pexels-photo-411468_0,0.918819427490234,0.908887737670667,0.83299195605258,0.9818965596988,0.845984633532056
277,pexels-photo-412840_0,0.991905212402344,0.994410847486198,0.988883824970009,0.99654744621882,0.992283390892509
278,pexels-photo-413744_0,0.997444152832031,0.953166503564938,0.910523504273504,0.972471829981458,0.934612748457848
279,pexels-photo-413948_0,0.760871887207031,0.799556175176507,0.666050471203073,0.666476536720845,0.999041112309721
280,pexels-photo-413979_0,0.978363037109375,0.987735844976929,0.97576886435776,0.982416826168305,0.993112773978112
281,pexels-photo-414012_0,0.991657257080078,0.965611585452144,0.933509668004378,0.987870793385239,0.944333384591727
282,pexels-photo-414029_0,0.937141418457031,0.92433996051242,0.859323509826353,0.895332805564698,0.955289606802889
283,pexels-photo-414192_0,0.983661651611328,0.984409523913526,0.969297711127519,0.984205316330393,0.984613816254159
284,pexels-photo-415188_0,0.988723754882812,0.967892598787826,0.937782829239544,0.970760616162276,0.965041478048041
285,pexels-photo-415274_0,0.992694854736328,0.981329277447912,0.963342968166766,0.988781264121658,0.973988774917747
286,pexels-photo-415556_0,0.997200012207031,0.996972471766443,0.993963220054611,0.995166377088463,0.998785134007157
287,pexels-photo-416747_0,0.982841491699219,0.959250602453299,0.921692200557103,0.945038467717463,0.97389672743327
288,pexels-photo-42157_0,0.995670318603516,0.905723066699892,0.827690906330651,0.925322471147318,0.886936717097771
289,pexels-photo-423366_0,0.971797943115234,0.95258435469699,0.909461643969825,0.990054526790118,0.917846990483253
290,pexels-photo-424706_0,0.980396270751953,0.990006631132096,0.980211020832531,0.995195089530065,0.984871992292841
291,pexels-photo-428333_0,0.987781524658203,0.990117888072664,0.980429177206682,0.992834912168893,0.987415694382907
292,pexels-photo-432498_0,0.96759033203125,0.982595941511219,0.965787322463345,0.967247957282399,0.998438852994072
293,pexels-photo-432689_0,0.926460266113281,0.940494490230577,0.887673052719899,0.897652548964152,0.987630790773659
294,pexels-photo-439851_0,0.978710174560547,0.954280705491067,0.912559145175947,0.95104746664925,0.957536003156441
295,pexels-photo-442544_0,0.946399688720703,0.951013648961947,0.906602500614851,0.995133482660752,0.910639888900758
296,pexels-photo-450276_0,0.945621490478516,0.938757974781432,0.884584244190754,0.998391680602389,0.885846562991551
297,pexels-photo-45720_0,0.941143035888672,0.919572345272288,0.851118852103095,0.983059159199322,0.863788156258263
298,pexels-photo-458508_0,0.99456787109375,0.993835391089023,0.987746321314861,0.989730722470835,0.997974247732983
299,pexels-photo-458713_0,0.956527709960938,0.966529998472762,0.935227918608616,0.980385614528468,0.953060562531857
300,pexels-photo-458771_0,0.993751525878906,0.974469278967549,0.950209739193872,0.964100666173205,0.985063339005483
301,pexels-photo-460273_0,0.997528076171875,0.982110319695213,0.964849471114727,0.971065130752852,0.993409662105557
302,pexels-photo-460550_0,0.994411468505859,0.993447389019345,0.986980092428013,0.990907793065296,0.996000035874117
303,pexels-photo-462475_0,0.914413452148438,0.899634971191354,0.817578664932108,0.915300521577659,0.884496635440032
304,pexels-photo-462620_0,0.996692657470703,0.989491036472285,0.979200652528548,0.985180179092949,0.993839785731677
305,pexels-photo-47296_0,0.990150451660156,0.991663760928803,0.983465358581428,0.996140623986508,0.987226957740322
306,pexels-photo-530024_0,0.949718475341797,0.886185250105776,0.795630736789878,0.852621084987954,0.922500269658074
307,pexels-photo-531474_0,0.996189117431641,0.893892724375996,0.808142884578452,0.92280701754386,0.866735324407827
308,pexels-photo-532290_0,0.502494812011719,0.667178759544322,0.50057632583663,0.998785128134599,0.500881300339492
309,pexels-photo-532301_0,0.991786956787109,0.991561131819589,0.983263500750149,0.995850883753887,0.987308178653387
310,pexels-photo-532400_0,0.975105285644531,0.966034829133227,0.934301131558813,0.973503125917845,0.958680247092122
311,pexels-photo-534256_0,0.984954833984375,0.986229819563153,0.972833723653396,0.995503052003891,0.977127755254528
312,pexels-photo-546162_0,0.989974975585938,0.989700176366843,0.97961036240486,0.993664709678435,0.985767152805971
313,pexels-photo-547116_0,0.997001647949219,0.980161534578495,0.961094886897986,0.988595285372435,0.971870463987186
314,pexels-photo-551576_0,0.997016906738281,0.978978494623656,0.958822600179032,0.991829620349692,0.966456132901651
315,pexels-photo-551594_0,0.993724822998047,0.9489653460739,0.902886829210697,0.942735622264686,0.95527795128045
316,pexels-photo-551657_0,0.9534912109375,0.935425096925913,0.878684152918466,0.896480310244358,0.977907221403971
317,pexels-photo-551855_0,0.994735717773438,0.971484068272926,0.944549363121308,0.96316479554208,0.979948307487077
318,pexels-photo-55529_0,0.997196197509766,0.971714450644603,0.94498502994012,0.96721060292653,0.976260439220538
319,pexels-photo-561652_0,0.990146636962891,0.98306773561282,0.966699327024727,0.979644896199422,0.986514577412904
320,pexels-photo-562624_0,0.997566223144531,0.994659479006228,0.989375697323941,0.992930677184304,0.99639431139733
321,pexels-photo-570093_0,0.996776580810547,0.993272453683431,0.98663482221941,0.997824522114692,0.988761729647477
322,pexels-photo-573238_0,0.998153686523438,0.988951789627465,0.978145037478551,0.987554137223615,0.99035340373977
323,pexels-photo-573253_0,0.995090484619141,0.990304427418808,0.980795057749127,0.995079634227578,0.985574832431136
324,pexels-photo-573565_0,0.989482879638672,0.969651604381089,0.94109100232901,0.995839739531518,0.944805543042238
325,pexels-photo-582429_0,0.987640380859375,0.982482509542707,0.965568178195305,0.980870334985048,0.984099992418252
326,pexels-photo-582431_0,0.995002746582031,0.989347514962269,0.978919588690601,0.987116036802051,0.991589104956886
327,pexels-photo-584306_0,0.993938446044922,0.995565255493194,0.991169671238358,0.993776326639773,0.997360636578669
328,pexels-photo-58571_MX1VrmUxeW_0,0.997421264648438,0.977030241250425,0.95509200823756,0.960451599973278,0.994191273079317
329,pexels-photo-58572_0,0.987812042236328,0.964758049393882,0.931915528373857,0.972881582167249,0.956769055745165
330,pexels-photo-586336_0,0.996585845947266,0.997008739827209,0.99403532155948,0.996359385437542,0.997658941172536
331,pexels-photo-590140_0,0.987945556640625,0.96905964829828,0.939976446453672,0.992996889736129,0.946249306843605
332,pexels-photo-590513_0,0.983798980712891,0.978941157219856,0.958750971250971,0.981164519720102,0.976727848414387
333,pexels-photo-590617_0,0.916683197021484,0.956125919274584,0.915939898239591,0.989427426328744,0.924993100982187
334,pexels-photo-590798_0,0.981693267822266,0.983962008775946,0.968430331616375,0.988020053825865,0.979937162180153
335,pexels-photo-593349_0,0.992687225341797,0.991053135136397,0.982264943427297,0.988051145563848,0.994073422153979
336,pexels-photo-593578_0,0.961498260498047,0.974799190018552,0.950837319408859,0.959417483362987,0.990682142295258
337,pexels-photo-594685_0,0.996364593505859,0.991285263591057,0.982721108169852,0.989972602739726,0.992601410127278
338,pexels-photo-596146_0,0.979373931884766,0.861865467644279,0.757261503928171,0.790773990905255,0.947002021109364
339,pexels-photo-601319_0,0.994182586669922,0.988124625244321,0.97652798941066,0.981437366581072,0.994903639585392
340,pexels-photo-60682_0,0.993019104003906,0.995322922789889,0.990689392012211,0.998287653675392,0.992375749174379
341,pexels-photo-612872_0,0.993721008300781,0.988805614875066,0.977859083694278,0.981489732269432,0.996231379589152
342,pexels-photo-614510_0,0.998889923095703,0.985134099616858,0.970703714889761,0.984279297672519,0.985990387565191
343,pexels-photo-615491_0,0.985397338867188,0.990017992646484,0.980233296670953,0.984381076834524,0.995719838235063
344,pexels-photo-620331_0,0.993343353271484,0.983895231327236,0.968300968228306,0.983396059331415,0.984394910339988
345,pexels-photo-620334_0,0.986358642578125,0.968093649065829,0.938160374911374,0.970431453921008,0.965767080855912
346,pexels-photo-62376_0,0.996677398681641,0.937736793194653,0.882772543741588,0.981739260589732,0.897509578544061
347,pexels-photo-62377_0,0.993782043457031,0.416189111747851,0.262777023971054,0.26289592760181,0.998281786941581
348,pexels-photo-625393_0,0.993682861328125,0.995448198520115,0.9909376470717,0.992550853171232,0.998362508614748
349,pexels-photo-627935_0,0.956661224365234,0.957835237879626,0.919082349254284,0.966635454511405,0.949193809397711
350,pexels-photo-631037_0,0.984146118164062,0.774815778066753,0.632407571201132,0.816116881634517,0.73749355337803
351,pexels-photo-631214_0,0.996074676513672,0.995854934802838,0.991744090887209,0.992261565507775,0.999474424697188
352,pexels-photo-631546_0,0.995174407958984,0.99670286993669,0.993427410555631,0.993980006134363,0.99944069249587
353,pexels-photo-633277_0,0.997982025146484,0.986663977613634,0.973678973032142,0.98316921221865,0.990183676567323
354,pexels-photo-634509_0,0.731193542480469,0.72572785302818,0.569523437165914,0.99882147487063,0.569906408367618
355,pexels-photo-63775_0,0.965656280517578,0.935064373039056,0.878047789336801,0.93485534627477,0.935273493297935
356,pexels-photo-64609_0,0.962905883789062,0.890409106277471,0.802466126312796,0.903152792702165,0.878020048454135
357,pexels-photo-667247_0,0.984867095947266,0.985307461824216,0.971040413478946,0.981631809661565,0.989010743893825
